JAsnv24-Oli-1_S1,spr1_sL1-1
JAsnv24-Oli-10_S10,spr5_fL1-2
JAsnv24-Oli-11_S11,spr1-hpl2_fL1-1
JAsnv24-Oli-12_S12,spr1-hpl2_fL1-2
JAsnv24-Oli-2_S2,spr1_sL1-2
JAsnv24-Oli-3_S3,spr5_sL1-1
JAsnv24-Oli-4_S4,spr5_sL1-2
JAsnv24-Oli-5_S5,spr1-hpl2_sL1-1
JAsnv24-Oli-6_S6,spr1-hpl2_sL1-2
JAsnv24-Oli-7_S7,spr1_fL1-1
JAsnv24-Oli-8_S8,spr1_fL1-2
JAsnv24-Oli-9_S9,spr5_fL1-1
JAtab71-F-1,WT_fL1-1
JAtab71-F-2,WT_fL1-2
JAtab71-F-3,hpl2_fL1-1
JAtab71-F-4,hpl2_fL1-2
JAtab71-F-5,cep1_fL1-1
JAtab71-F-6,cep1_fL1-2
JAtab71-F-7,lin13_fL1-1
JAtab71-F-8,lin13_fL1-2
JAtab71-F-9,lin13-cep1_fL1-1
JAtab71-F-10,lin13-cep1_fL1-2
JAtab71-F-11,hpl2-cep1_fL1-1
JAtab71-F-12,hpl2-cep1_fL1-2
JAtab71-S-1,WT_sL1-1
JAtab71-S-2,WT_sL1-2
JAtab71-S-3,hpl2_sL1-1
JAtab71-S-4,hpl2_sL1-2
JAtab71-S-5,cep1_sL1-1
JAtab71-S-6,cep1_sL1-2
JAtab71-S-7,lin13_sL1-1
JAtab71-S-8,lin13_sL1-2
JAtab71-S-9,lin13-cep1_sL1-1
JAtab71-S-10,lin13-cep1_sL1-2
JAtab71-S-11,hpl2-cep1_sL1-1
JAtab71-S-12,hpl2-cep1_sL1-2
